NM_204680	ZBTB7A
NR_045197	E2F6
NM_001244738	E2F6
NM_001030749	ELK3
NM_205298	ETS1
NM_001001463	ARNTL
NM_001031292	MIER1
NM_001293098	PRRX2
NM_001159345	NR3C2
NM_001277480	ZNF639
NM_001008480	GCM2
NM_001044668	LBX2
NM_001137649	DEAF1
NM_204803	MEIS2
NM_205013	LEF1
NM_001195469	ZNF277
NM_001030346	HOXA4
NM_001005848	HES4
NM_204472	HES4
NM_205249	HOXD12
NM_204990	MIXL1
NM_205426	LHX9
NM_001030942	E2F5
NM_001256157	ARID3B
NM_205065	PAX7
NM_001031220	ARID5B
NM_001031091	MYCN
NM_205091	GFI1B
NM_001030930	MLX
NM_204702	NR1I3
NM_001277282	HOXC9
NM_001172374	HSF4
NM_001199110	SATB2
NM_001030668	HNF1A
NM_205331	GSC
NM_204757	MAFF
NM_001199273	ETV6
NM_001030626	PIAS2
NM_001277498	GATAD1
NM_204424	PAX5
NM_001267555	STAT4
NM_204280	ERG
NM_204779	STAT5B
NM_205137	NKX2-6
NM_204940	T
NM_001030363	MYF5
NM_205413	LHX1
NM_204792	SOX10
NM_001277887	JDP2
NM_205131	ZEB1
NM_001293106	GATA4
NM_205161	ZBTB14
NM_001270878	TBX3
NM_001289887	RORA
NM_204911	HOXB8
NM_204311	CDX2
NM_001349739	GZF1
NM_205382	TEF
NM_204668	ATOH7
NM_001034818	LIN28B
NM_001305245	GLI1
NM_205183	ESR1
NM_001040466	LHX8
NM_205219	E2F1
NM_205077	NR5A1
NM_001099356	ZNF692
NM_001080872	SALL4
NM_205464	GATA1
NM_001103214	TWIST3
NM_204133	ARNTL2
NM_001318466	ZEB2
NM_001198666	SP8
NM_204486	TCF3
NM_001199499	ZNF800
NM_001004385	SOX5
NM_001007081	ESRRG
NM_001007858	GABPA
NM_204607	IKZF2
NM_204765	MEOX1
NM_001006192	XBP1
NM_204475	SMAD3
NM_204589	ID3
NM_001199644	SATB1
NM_204731	SOX8
NM_001079489	MAFG
NM_204746	PBX1
NM_001201455	SMAD1
NM_001319031	ZFP36L1
NM_204739	TWIST1
NM_001320906	LHX5
NM_001243724	RAX
NM_204542	NR1H3
NM_204547	TCF7
NM_001012927	MYSM1
NM_001012914	STAT1
NM_205210	ZNF335
NM_001044685	SIX1
NM_204595	HOXA7
NM_001045836	FOSL2
NM_001030746	MYF6
NM_001001337	TEAD4
NM_001359859	TEAD4
NM_001001341	TEAD4
NM_001306152	TEAD4
NM_204771	TEAD4
NM_001001340	TEAD4
NM_001031289	JUN
NM_001199446	DACH1
NM_204570	CBFB
NM_001045842	DLX1
NM_204893	HOXC8
NM_001006460	MXD4
NM_204387	CREM
NM_001278135	CREM
NM_001278134	CREM
NM_001278133	CREM
NM_001278132	CREM
NM_204184	MYOG
NM_204677	BAZ2B
NM_001030678	PBX3
NM_205216	WT1
NM_204594	NR2E3
NM_001012795	ZBTB34
NM_001277718	NKX2-2
NM_001012612	FOXL2
NM_001031495	MTF1
NM_204619	HOXA11
NM_204614	CDX4
NM_001030576	HNF4beta
NM_001201387	AHRR
NM_205386	SOHO-1
NM_204647	SALL3
NM_001030695	ZNF302
NM_205023	SPI1
NM_205165	PBRM1
NM_205271	NFIC
NM_001012293	HOXD4
NM_204299	IRF4
NM_204512	BSX
NM_204100	TFAM
NM_001277584	EHF
NM_205193	FOXG1
NM_204269	PAX3
NM_204269	PAX3
NM_205111	TSC22D1
NM_001012760	TSC22D1
NM_204413	NFKB2
NM_001139477	MEIS1
NM_205227	RUNX1
NM_001012821	ZFP92
NM_205117	NFE2L2
NM_204768	VSX2
NM_204615	TULP1
NM_001321555	EOMES
NM_001318419	HOXA5
NM_001267719	EN2
NM_001267719	EN2
NM_001030869	ZFP64
NM_205375	TCF12
NM_204604	SP1
NM_204484	SOX4
NM_001184713	TFDP2
NM_001001744	IRX4
NM_001030852	MAFB
NM_001030852	MAFB
NM_001005796	SSRP1
NM_001012953	MTA1
NM_205205	NR1D2
NM_001206510	TCF7L2
NM_001199000	NFAT5
NM_001159663	SMAD7B
NM_205326	RARB
NM_001277711	TCF21
NM_001270612	ZNF512B
NM_001270611	ZNF512B
NM_001037830	ZNF512B
NM_001277483	HIC2
NM_001277484	HIC2
NM_001001464	PPARA
NM_205196	IRF2
NM_204794	ESR2
NM_001030338	IRX1
NM_204684	MSGN1
NM_001110841	MLXIPL
NM_204793	PAX2
NM_001305224	HOXA9
NM_204707	SALL1
NM_204414	YBX1
NM_205252	HHEX
NM_204756	MAFK
NM_204130	ZNF622
NM_204126	SREBF1
NM_001030908	FLI1
NM_204593	NR0B1
NM_001031577	PLAG1
NM_205272	NFIB
NM_001030952	MYC
NM_001044684	SP5
NM_001030969	KLF6
NM_207177	HOXD8
NM_001012862	JARID2
NM_001305260	HOXC10
NM_204590	ID1
NM_204889	LHX2
NM_205312	ETS2
NM_001006229	TFEC
NM_001037826	NR3C1
NM_204520	OTX2
NM_001199474	DBX1
NM_205372	IRF7
NM_205088	IKZF1
NM_204200	ARNT
NM_001079724	SHOX
NM_204248	SMAD6
NM_204136	EGR1
NM_001198556	NFRKB
NM_204287	THYN1
NM_001293219	CPEB1
NM_001006199	FUBP3
NM_001006533	ZNF326
NM_205304	TF
NM_001204761	NME1
NM_001031188	RAG1
NM_001012887	NKRF
NM_204863	PLEK
NM_204807	EPAS1
NM_001277583	GPBP1L1
NM_001305146	RAD54L
NM_001277794	TET2
NM_001161801	AHCTF1
NM_001012622	GABPB1
NM_001005816	GABPB1
NM_001204932	CENPS
NM_001276313	CENPT
NM_204853	XPA
NM_001079503	YEATS4
NM_001319023	PREB
NM_001012768	MYEF2
NM_001278110	CREBL2
NM_001031389	RFXANK
NM_001177735	PHB
NM_001293220	ZNF609
NM_001031060	CEBPZ
NM_001097531	ZNF706
NM_001030674	BRD2
NM_001034813	CAMK4
NM_001034813	CAMK4
NM_001305168	LOXL2
NM_001031596	COPS2
NM_204689	HINT1Z
NM_001006307	ZNF593
NM_001012548	C26H6orf89
NM_001034817	BTN1A1
NM_001030914	RBBP5
NM_204718	CITED4
NM_001039260	WWP2
NM_001305166	EYA3
NM_204468	TERF2IP
NM_001257286	SUPT4H1
NM_001030894	TAF12
NM_001080715	MYOCD
NM_001081696	WNT3
NM_001039318	SKI
NM_001039320	SIRT6
NM_001007875	SSU72
NM_001030872	AURKAIP1
NM_001029849	RHOC
NM_001293184	SIN3A
NM_204097	TENM2
NM_001003718	TENM2
NM_001030703	JMJD6
NM_001277150	WWC1
NM_001030897	MEAF6
NM_001006495	NCOA4
NM_001031301	SAP130
NM_001305665	THRAP3
NM_205267	NPM1
NM_001012774	FHOD1
NM_001278018	WBP2
NM_001030876	NOC2L
NM_001039262	FBXW11
NM_001030563	SETD6
NM_001317212	AGO1
NM_001277133	CNOT1
NM_001030295	NOTCH1
NM_205120	ENO1
NM_204102	RECQL5
NM_001031265	CDC73
NM_205258	RAN
NM_204747	HDAC3
NM_001353939	CRK
NM_001006198	WDR5
NM_001199524	ECD
NM_001244905	TAF11
NM_001004767	SIRT1
NM_204169	BRCA1
NM_001252033	NOTCH2
NM_001199546	JMJD1C
NM_001199533	NRBF2
NM_001178144	PID1
NM_205314	CDK1
NM_001011689	CBFA2T2
NM_001030365	ERBB4
NM_001318458	TRIM25
NM_001045830	MED22
NM_001005805	WDR61
NM_001031395	ASH2L
NM_001012904	CHUK
NM_001006327	MED20
NM_001285499	ERN1
NM_001030923	TAF8
NM_204852	RBBP4
NM_204827	DDX5
NM_001008446	ACTR5
NM_001006210	NOL11
NM_001305558	RBL2
NM_205110	TOP1
NM_001277275	MED27
NM_001005839	BRD7
NM_001081708	GTF2A2
NM_205457	SRC
NM_001348545	CALR3
NM_001030618	CNOT8
NM_001199471	PRMT3
NM_001199486	CSRP3
NM_001006315	PNRC2
NM_001006289	YWHAB
NM_001199751	RNF111
NM_001097533	ARR3
NM_204313	HDAC4
NM_001030661	SETD1B
NM_001031358	CCNE1
NM_204915	EYA2
NM_001025578	MAD2L2
NM_001292086	LEO1
NM_001030691	SET
NM_001277338	H2AFY2
NM_001044636	RASD1
NM_001030593	VGLL4
NM_204233	BTK
NM_001030635	FLII
NM_205307	RAF1
NM_001006224	TRIM37
NM_001277141	HDAC11
NM_001033058	BRIP1
NM_001030574	WWOX
NM_001030724	AATF
NM_001031532	NONO
NM_204262	PER2
NM_204295	CAMK2A
NM_001030341	FLNB
NM_001080107	CHEK2
NM_001008478	DR1
NM_001173546	BANP
NM_001173545	BANP
NM_001006138	RUVBL1
NM_001039255	SMARCB1
NM_001012572	RAP2C
NM_001030639	PLK1
NM_001025440	CHMP1A
NM_001002242	CSNK2A1
NM_001277415	TSG101
NR_102406	TSG101
NM_204203	PCBD2
NM_001079728	RBMX
NM_204405	ANKRD1
